InspectionID,CSNumber,CS Overall Condition,CS Litter,CS Graffiti,CS Amenities,CS Structural
106658,1,A,A,A,U,A
119592,1,N,N,N,N,N
103456,1,U,U,A,U/S,A
88647,1,N,N,N,N,N
79899,1,A,A,A,A,A
108262,1,N,N,N,N,N
61560,1,A,A,A,A,A
60479,1,A,A,A,A,A
85090,1,A,A,A,A,A
61157,1,U,N,N,N,N
74437,1,A,A,A,U,A
118959,1,A,A,A,A,A
106822,1,A,A,A,A,A
120224,1,A,A,A,A,A
97330,1,A,A,A,A,A
73078,1,A,A,A,A,A
104150,1,A,A,A,A,A
103076,1,A,A,A,A,A
53957,1,A,A,A,A,A
69899,1,U,A,A,U,U
110944,1,A,A,A,A,A
36005,1,N,N,N,N,N
35070,1,U,N,N,N,N
63199,2,U,N,N,N,N
68335,1,A,A,A,U,A
47329,1,A,A,A,U,A
111263,1,A,A,A,A,A
