BatchNo,WO#,CreatedDate,AssignedDate,CompletedDate,Status,NodeID,Boro,Support,SupportAction,StreetSignName,SignAction,Size,NewSign
B-1004,89,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,3480,Staten Island,Light Pole,NoAction,Elie Ct,Remove & Install,24,Yes
B-1004,89,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,3480,Staten Island,Light Pole,NoAction,Nome Av,Remove & Install,24,Yes
B-1004,90,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,3564,Staten Island,Light Pole,NoAction,Nome Av,Remove & Install,24,Yes
B-1004,90,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,3564,Staten Island,Light Pole,NoAction,Poi Ct,Remove & Install,24,Yes
B-1004,94,06/15/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,3668,Staten Island,Light Pole,NoAction,Edward Curry Avenue,Remove & Install,36,Yes
B-1004,94,06/15/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,3668,Staten Island,Light Pole,NoAction,Glen St,Remove & Install,24,Yes
B-1004,95,06/15/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,3668,Staten Island,Light Pole,NoAction,Edward Curry Avenue,Install,36,Yes
B-1004,95,06/15/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,3668,Staten Island,Light Pole,NoAction,Glen St,Remove & Install,24,Yes
B-1004,96,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,5470,Staten Island,Light Pole,NoAction,Klondike Av,Remove & Install,36,Yes
B-1004,96,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,5470,Staten Island,Light Pole,NoAction,Lewiston St,Remove & Install,36,Yes
B-1004,97,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,5470,Staten Island,Light Pole,NoAction,Klondike Av,Remove & Install,36,Yes
B-1004,97,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,5470,Staten Island,Light Pole,NoAction,Lewiston St,Remove & Install,36,Yes
B-1004,101,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,8286,Staten Island,Traffic Signal,NoAction,Buel Av,Remove & Install,24,Yes
B-1004,101,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,8286,Staten Island,Traffic Signal,NoAction,Hylan Blvd,Remove & Install,30,Yes
B-1004,102,06/15/2018,07/11/2018,02/05/2019,COMPLETED APPROVED,8286,Staten Island,Wood Pole,NoAction,Buel Av,NoAction,24,No
