Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2017,Andrew R Nicklas,"Adventist HealthCare, Inc.","Adventist HealthCare, Inc.",,"All matters concerning health-care delivery, health occupations, health care regulation, health insurance, business and economic development, and employment issues.",13840.00,13633.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=945,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=945
2017,Robert J. Garagiola,"Wawa, Inc.","Alexander & Cleaver, P.A.",,"Any and all matters including human resource related issues, gasoline pricing, taxation and retail sales restrictions.",0.00,250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=834,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=834
2017,C. Robert Dalrymple,"StonebridgeCarras, LLC",Linowes and Blocher LLP,Matthew M. Gordon,Bethesda Downtown Sector Plan.,6019.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=907,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=907
2018,Soo Lee-Cho,"Columbia / Wegman Acquisitions, Inc.","Miller, Miller & Canby",,Represent client before Council to resolve TPAR credit.,3120.00,880.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2110,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2110
2018,Nick Zabriskie,"Uber Technologies, Inc.","Uber Technologies, Inc.",,Transportation,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2061,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2061
2013,William Kominers,Spectrum Partners,"Lerch, Early & Brewer, Chartered",,Zoning Text Amendment 13-05,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=103,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=103
2017,Gino Renne,Gino Renne,UFCW Local 1994 MCGEO,"Amy Millar, Yvette Cuffie, Lisa Blackwell-Brown, Nelvin Ransome",To Lobby issues pertaining to membership representational purposes and matters related to collective bargaining.,3405.00,719.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2138,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2138
2015,Steven A. Robins,"East West, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=492,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=492
2014,LaTara Harris,AT&T,AT&T,,All matters involving telecommunications concerns in Montgomery County,100.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=234,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=234
2019,Rick Abbruzzese,Crown Castle NG Atlantic LLC,KO Public Affairs,,Telecommunications,7000.00,10500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2247,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2247
2014,"Steven A. Robins, Esquire","Clarksburg Outlet Center, LLC","Lerch, Early & Brewer, Chartered",,Land Use Approval,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=208,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=208
2020,Andrew Nicklas,"Adventist HealthCare, Inc.","Adventist HealthCare, Inc.",,"All matters health care policy, health care delivery, health occupations, health care regulation, health insurance, business and economic development, and employment  issues.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2297,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2297
2019,Robert R. Harris,"Winchester Homes, Inc.","Lerch, Early & Brewer, Chtd.",,Land use,3360.00,715.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2177,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2177
2019,Steven Silverman,AT&T,SSGOVRELATIONS,,Telecommunications issues,12500.00,15000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2221,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2221
2017,C. Robert Dalrymple,Southern Management Corporation,Linowes and Blocher LLP,Heather Dlhopolsky,Greater Lyttonsville Sector Plan.,546.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=914,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=914
2016,Barbara A. Sears,EYA,Linowes and Blocher LLP,Phillip A. Hummel,Shady Grove Service Park,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=603,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=603
2015,William Kominers,"Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,2343.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=412,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=412
2014,Todd D. Brown,Greenhill Capital Corporation,Linowes and Blocher LLP,,Fairmont Avenue Property,3553.00,2328.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=271,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=271
2015,"Nancy P. Regelin, Esquire",Aldon Management Corp.,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,"Bethesda CBD Sector Plan Amendment, parking district, zoning and affordable housing legislation",10226.00,28504.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=328,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=328
2016,Stephen P. Elmendorf,Montgomery Farm Women�s Co-Op Market,Linowes and Blocher LLP,,Bethesda Master Plan,117683.00,8925.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=670,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=670
2016,Steven A. Silverman,"8600 Georgia ,LLC","SSGOVRELATIONS,LLC",,General real estate,0.00,8000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=752,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=752
2017,Robert J. Garagiola,Lockheed Martin Corporation,"Alexander & Cleaver, P.A.",,"Legislative and executive branch legislation, regulations, and issues affecting tax, procurement and other business issues.",125.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=828,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=828
2013,Meredith R Weisel,Greater Capital Area Association of REALTORS,"Weisel Government Relations, LLC",,"1. Real Estate Issues
2. Land Use Matters
3. Development and Growth Issues
4. Taxes
5. Transportation Issues",38648.00,57955.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=26,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=26
2018,Stephen Z. Kaufman,EDENS,Linowes and Blocher LLP,Erin E. Girard,Burtonsville Redevelopment,4813.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2123,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2123
2017,Camille Fesche,City of Takoma Park,"Alexander & Cleaver, P.A.",,Any and all legislation which affects the municipality of Takoma Park.,0.00,1128.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1001,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1001
2017,Steven A. Robins,Angela Traettino c/o Jimmy Traettino,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",535.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=803,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=803
2015,"Devin J. Doolan, Esq.","Westfield, LLC","Furey, Doolan & Abell, LLP","Elsie L. Reid, Esq.","Represent interests of Westfield, LLC in the redevelopment of Westfield Wheaton and Westfield Montgomery before all agencies of government.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=327,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=327
2015,Ellen Coren Bogage,RISE - Responsible Industry for a Sound Environmen,Chesapeake Public Strategies,,Issues related to pesticide use,12559.00,13358.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=437,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=437
2014,William Kominers,"Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",3524.00,8519.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=279,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=279
2015,Ashlie Bagwell,The Gordian Group,Harris Jones & Malone,,All matters related to contracting services,2000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=474,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=474
2019,Steven Silverman,Washington Property Company,SSGOVRELATIONS,,Real estate,12500.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2233,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2233
2017,Ellen L. Coren,Luis Group,Chesapeake Public Strategies,,Matters related to business issues including CB 12-16,2717.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=878,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=878
2013,Todd D. Brown,Georgia East Associates L.P.,Linowes and Blocher LLP,,Glenmont Sector Plan - Glenmont Arcade Property,1819.00,5457.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=69,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=69
2015,Robert R. Harris,"Battery Lane Enterprises I & II, LP","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=491,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=491
2014,"Steven A. Robins, Esquire",Potomac Holdings LLC,"Lerch, Early & Brewer, Chartered",,Clarksburg Ten Mile Creek Master Plan Amendment,11633.00,990.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=209,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=209
2020,Ashlie Bagwell,Verizon Communications,Harris Jones & Malone,,All matters related to the telecommunications industry.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2292,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2292
2015,Emily J. Vaias,Douglas Development Corporation,Linowes and Blocher LLP,Samantha Mazo,Bethesda Master Plan,9710.00,11815.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=510,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=510
2018,Ellen Valentino-Benitez,MD-DE-DC Beverage Assn.,VBA,,matters related to soft drink beverages,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2067,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2067
2018,Caitlin Wall,Potomac Conservancy,Potomac Conservancy,,"Matters relating to clean water, water usage, stormwater, land use, development, transportation, green infrastructure, or other environmental matters within the purview of Potomac Conservancy.",3050.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2077,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2077
2018,Danielle M. Vranian,"Atlantic Recycling Group, LLC","Baxter, Baker, Sidle, Conn & Jones, P.A.",,"Lobbying regarding Montgomery County Zoning Ordinance dealing with definition of scrap metal recycling, and recycling centers in Montgomery County",5000.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2107,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2107
2016,Steven A. Robins,"Rock Spring Properties, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning Text Amendment 14-09, and other zoning, master plans, and general land use matters.",788.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=590,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=590
2014,Emily J. Vaias,Barnesville School,Linowes and Blocher LLP,,Zoning Rewrite,1820.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=285,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=285
2016,Michael L. Fowler,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,,"All legislative and executive actions regarding electric and gas public utilities, energy and energy-related products and services, financial investments and real estate.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=552,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=552
2016,Robert J. Garagiola,Montgomery County Career Firefighters Association,"Alexander & Cleaver, P.A.",,General budget issues in Montgomery County and employee benefits.,3125.00,5567.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=614,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=614
2014,Barbara A. Sears,Equity One Inc.,Linowes and Blocher LLP,Erin E. Girard,Westbard Shopping Center,11075.00,2268.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=253,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=253
2017,Ashlie Bagwell,The Gordian Group,Harris Jones & Malone,,All matters relating to contracting services,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=838,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=838
2013,Stuart R. Barr,"Grady Management, Inc.","Lerch, Early & Brewer, Chartered",,Glenmont Sector Plan Amendment,0.00,2170.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=129,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=129
2014,Steven A. Robins,"DRI Development Services, LLC","Lerch, Early & Brewer, Chtd.",,"Land use, zoning and real estate development matters.",0.00,3564.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=316,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=316
2016,Ashlie Bagwell,"Wal-Mart Stores, Inc.",Harris Jones & Malone,,"All matters related to Wal-Mart stores including but not limited to labor, taxes, development, new stores, zoning, land use and healthcare",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=645,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=645
2014,Yum Yu Cheng,4504 Walsh Street LLC,Linowes and Blocher LLP,Barbara A. Sears,District Map Amendment,5150.00,2070.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=267,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=267
2017,Steven A. Silverman,"Davis Bros. Montgomery Farm, LP","SSGOVRELATIONS, LLC",,Real estate matters,5208.00,4166.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=857,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=857
2020,Gerard Evans,Maryland Asphalt Association,Evans * Associates,,"Any and all matters affecting the asphalt, paving and construction industry.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2350,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2350
2014,Stephen Z. Kaufman,"Symmetry, LLC",Linowes and Blocher LLP,Heather Dlhopolsky,Master Plan Amendment 11181.0003,2958.00,432.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=294,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=294
2016,"Lawrence A. Shulman, Esq.","Corvias Solutions, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, PA",,Understand the needs of Montgomery County Government in order to respond to possible storm water and infrastructure needs through a P3.,1393.00,6353.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=695,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=695
2018,Patricia Swanson,Montgomery County Chamber of Commerce,Montgomery County Chamber of Commerce,,Commerce; Business Development; Tax; Economic Development; Transportation; Infrastructure; Procurement;,0.00,2168.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2126,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2126
2018,Ashlie Bagwell,The Gordian Group,Harris Jones & Malone,,All matters relating to contracting services,500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2065,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2065
2017,David Winstead,White Flint Partnership,Ballard Spahr. LLP,,"Working with the White Flint Partnership and the White Flint community on the planned Bus Rapid Transit system that has been proposed by Montgomery County, Md.",9000.00,9000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=871,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=871
2017,Ilaya Hopkins,Montgomery County Chamber of Commerce,Montgomery County Chamber of Commerce,,"infrastructure investment, economic competitiveness, shaping the market",294657.00,212542.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=899,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=899
2020,"Nancy P. Regelin, Esquire","Lois Wheaton, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","Lawrence A. Shulman, Esquire",Glenmont Redevelopment,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2304,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2304
2014,Steven A. Robins,The Ronald D. Paul Companies,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,1635.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=274,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=274
