Permit_number,Schedule_Date,Schedule_time,Base_Number,Last_Updated_Date,Last_Updated_Time
AC390,05/19/2020,10:00AM,B02932,05/10/2020,18:05:03.586
ab295,10/16/2020,10:00AM,B01593,05/10/2020,18:05:03.586
BC217,06/15/2020,10:45AM,,05/10/2020,18:05:03.586
AF712,07/27/2020,10:45AM,B01848,05/10/2020,18:05:03.586
BA300,10/21/2020,10:30AM,B01313,05/10/2020,18:05:03.586
AA456,07/29/2020,9:00AM,B02293,05/10/2020,18:05:03.586
AB362,11/04/2020,10:00AM,B01313,05/10/2020,18:05:03.586
AB875,06/03/2020,9:00AM,B01536,05/10/2020,18:05:03.586
AD714,06/24/2020,9:45AM,B03036,05/10/2020,18:05:03.586
AC378,05/26/2020,10:00AM,B02932,05/10/2020,18:05:03.586
AB418,10/08/2020,9:45AM,,05/10/2020,18:05:03.586
AE923,10/02/2020,10:30AM,,05/10/2020,18:05:03.586
AF308,09/04/2020,10:15AM,,05/10/2020,18:05:03.586
AD486,08/24/2020,9:15AM,B03036,05/10/2020,18:05:03.586
AD278,07/17/2020,9:15AM,B01614,05/10/2020,18:05:03.586
BA328,08/10/2020,9:45AM,B03027,05/10/2020,18:05:03.586
AF879,09/16/2020,10:30AM,B03027,05/10/2020,18:05:03.586
AD717,07/13/2020,9:45AM,B01848,05/10/2020,18:05:03.586
AA437,09/11/2020,9:45AM,B03036,05/10/2020,18:05:03.586
AE725,11/02/2020,10:30AM,B03036,05/10/2020,18:05:03.586
AC244,07/20/2020,9:00AM,B01338,05/10/2020,18:05:03.586
AC966,10/06/2020,10:00AM,,05/10/2020,18:05:03.586
AD798,05/29/2020,9:45AM,B00882,05/10/2020,18:05:03.586
AF799,08/07/2020,9:15AM,B03036,05/10/2020,18:05:03.586
AA418,05/12/2020,9:00AM,B90675,05/10/2020,18:05:03.586
AB871,06/17/2020,9:15AM,B03027,05/10/2020,18:05:03.586
AB704,09/18/2020,9:45AM,B02932,05/10/2020,18:05:03.586
BA427,09/14/2020,10:45AM,B01243,05/10/2020,18:05:03.586
BB823,09/22/2020,10:45AM,B00882,05/10/2020,18:05:03.586
BA399,06/16/2020,10:15AM,,05/10/2020,18:05:03.586
BB045,06/12/2020,10:45AM,B01848,05/10/2020,18:05:03.586
BB404,09/10/2020,9:00AM,B01614,05/10/2020,18:05:03.586
BA396,05/12/2020,10:30AM,B00375,05/10/2020,18:05:03.586
BC050,11/09/2020,11:00AM,B02520,05/10/2020,18:05:03.586
AA411,10/23/2020,9:15AM,B02759,05/10/2020,18:05:03.586
AB949,05/13/2020,10:00AM,B01777,05/10/2020,18:05:03.586
AB717,11/05/2020,10:15AM,B02932,05/10/2020,18:05:03.586
AA003,08/04/2020,10:15AM,B00937,05/10/2020,18:05:03.586
AD980,07/10/2020,10:00AM,B01109,05/10/2020,18:05:03.586
AF436,10/15/2020,10:15AM,,05/10/2020,18:05:03.586
BB410,08/11/2020,10:30AM,B02346,05/10/2020,18:05:03.586
BB712,10/30/2020,10:45AM,B01601,05/10/2020,18:05:03.586
BB655,10/21/2020,10:45AM,B02346,05/10/2020,18:05:03.586
AF383,10/01/2020,10:15AM,B02932,05/10/2020,18:05:03.586
BA840,06/24/2020,10:30AM,B03027,05/10/2020,18:05:03.586
AE808,08/12/2020,9:45AM,B03027,05/10/2020,18:05:03.586
AE185,06/11/2020,10:15AM,B02822,05/10/2020,18:05:03.586
AF923,07/30/2020,10:45AM,B03152,05/10/2020,18:05:03.586
AD292,08/24/2020,9:00AM,,05/10/2020,18:05:03.586
BC067,08/31/2020,10:45AM,B02816,05/10/2020,18:05:03.586
AD949,07/30/2020,9:30AM,B02346,05/10/2020,18:05:03.586
AA932,09/04/2020,9:45AM,B02219,05/10/2020,18:05:03.586
BA371,10/01/2020,10:30AM,B02660,05/10/2020,18:05:03.586
AG001,08/21/2020,10:15AM,B01734,05/10/2020,18:05:03.586
AB304,07/30/2020,9:00AM,B01848,05/10/2020,18:05:03.586
AB545,05/20/2020,10:00AM,B02847,05/10/2020,18:05:03.586
AA688,11/04/2020,9:30AM,B02847,05/10/2020,18:05:03.586
AB507,10/02/2020,9:45AM,B02772,05/10/2020,18:05:03.586
AD353,07/08/2020,9:30AM,B03027,05/10/2020,18:05:03.586
AF489,07/29/2020,10:00AM,B01848,05/10/2020,18:05:03.586
AE282,06/04/2020,9:15AM,B02847,05/10/2020,18:05:03.586
AF505,07/06/2020,10:30AM,B01614,05/10/2020,18:05:03.586
BA383,07/08/2020,10:30AM,B02183,05/10/2020,18:05:03.586
AF822,05/21/2020,10:00AM,B01734,05/10/2020,18:05:03.586
AC246,06/05/2020,9:30AM,B00653,05/10/2020,18:05:03.586
AA767,05/18/2020,10:45AM,B03152,05/10/2020,18:05:03.586
AC991,07/10/2020,9:00AM,B00911,05/10/2020,18:05:03.586
BC002,07/21/2020,10:45AM,B01848,05/10/2020,18:05:03.586
AF801,07/27/2020,10:30AM,B03152,05/10/2020,18:05:03.586
BA462,10/19/2020,10:15AM,B02660,05/10/2020,18:05:03.586
AE797,07/10/2020,10:00AM,B01600,05/10/2020,18:05:03.586
AC370,05/11/2020,9:45AM,B02219,05/10/2020,18:05:03.586
AE422,10/02/2020,10:15AM,B01313,05/10/2020,18:05:03.586
AE430,07/17/2020,9:45AM,B02822,05/10/2020,18:05:03.586
AG004,07/14/2020,10:00AM,B02902,05/10/2020,18:05:03.586
AA895,11/05/2020,9:45AM,,05/10/2020,18:05:03.586
AF441,10/22/2020,10:30AM,,05/10/2020,18:05:03.586
AA001,08/13/2020,9:15AM,B01678,05/10/2020,18:05:03.586
BB025,11/06/2020,9:00AM,B01614,05/10/2020,18:05:03.586
AF800,08/28/2020,9:15AM,B01600,05/10/2020,18:05:03.586
BC302,06/25/2020,11:00AM,B02182,05/10/2020,18:05:03.586
AA496,09/24/2020,9:30AM,B02902,05/10/2020,18:05:03.586
BA528,05/28/2020,9:45AM,B03027,05/10/2020,18:05:03.586
AC690,07/20/2020,9:15AM,,05/10/2020,18:05:03.586
BB101,06/05/2020,10:30AM,B03027,05/10/2020,18:05:03.586
AC100,05/21/2020,10:45AM,B00860,05/10/2020,18:05:03.586
AF303,08/27/2020,10:30AM,B01848,05/10/2020,18:05:03.586
AB092,09/15/2020,10:15AM,B03189,05/10/2020,18:05:03.586
AB137,10/07/2020,9:30AM,B02932,05/10/2020,18:05:03.586
AE526,08/19/2020,9:45AM,B02089,05/10/2020,18:05:03.586
BB017,06/25/2020,10:45AM,,05/10/2020,18:05:03.586
