the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.737244284605 30.253893202812),375,115,,,,,,,20 N IH 35 SVRD SB,0
POINT (-97.749752937246 30.425070629045),410,159,,,,,,SPX 5/31/96,12005 TWEED CT,80
POINT (-97.748383333485 30.396894353139),168,5,,,,,,SPX 8/14/96,10500 RESEARCH BLVD SB,80
POINT (-97.797455677154 30.215967971993),505,394,,,,,,,2048 W STASSNEY LN,100
POINT (-97.681515049326 30.378371470745),477,365,,,,,,SPX 6/22/96,102 FARLEY DR,100
POINT (-97.717304169787 30.421185408529),242,245,,,,,,,12400 AMHERST DR,90
POINT (-97.771154121957 30.266382343454),130,489,,,,,,,2206 ANDREW ZILKER RD,0
POINT (-97.732146090555 30.210131704877),469,357,,,,,,SPX 2/16/99,3733 DROSSETT DR,120
POINT (-97.728177786951 30.391809333049),135,37,,,,,,SPX-06-0575,3215 1/2 W BRAKER LN,155
POINT (-97.870965496781 30.240712204503),533,121,,,,,,,6501 W WILLIAM CANNON DR,0
POINT (-97.783986232016 30.293167261648),269,272,,,,,,BP-01-4915Q,3625 LAKE AUSTIN BLVD,194
POINT (-97.618321463934 30.139058781401),282,285,,,,,,,8028 ELROY RD,0
POINT (-97.675357073526 30.302729869147),426,188,,,,,,SP-07-0107CS,3400 1/2 ROGGE LN,90
POINT (-98.058466579553 30.409265719495),380,131,,,,,,,23200 OLD FERRY RD,0
POINT (-97.624016382942 30.459050358111),110,472,,,,,,,507 E PFLUGERVILLE PKWY,0
POINT (-97.849082178118 30.409988884609),390,141,,,,,,,11415 ZIMMERMAN LN,0
POINT (-97.686458458067 30.279133419149),255,258,,,,,,SPX 4/14/98,1203 SPRINGDALE RD,40
POINT (-97.685387212172 30.312901417748),446,79,,,,,,SPX-06-0380,2100 WHELESS LN,104
POINT (-97.701831258076 30.458429410697),55,412,,,,,,SP-01-0442DS,15222 N MOPAC EXPY SVRD SB,0
POINT (-97.71849373672 30.238578144892),23,540,,,,,,SPX 10/18/96,1401 S PLEASANT VALLEY RD,100
POINT (-97.749072583808 30.354643575719),113,475,,,,,,BP-04-3947Q,7200 1/2 N MOPAC EXPY SB,0
POINT (-97.727418351853 30.29144363976),450,82,,,,,,SPX-06-0546,3200 RED RIVER ST,0
POINT (-97.682928547187 30.362274420453),191,28,,,,,,SPX 12/1/99,9809 MIDDLE FISKVILLE RD,100
POINT (-97.780214250224 30.265646623423),142,38,,,,,,SPX-06-0585,901 S MOPAC EXPY SVRD  NB,80
POINT (-97.795578265182 30.312218896208),442,75,,,,,,,2106 TORO CANYON RD,0
POINT (-97.74658865261 30.179223623685),424,525,,,,,,SP-06-0732CS,6607 1/2 S PLEASANT VALLEY RD,0
