Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2019†","Hemolytic uremic snydrome post-diarrheal, Cum 2019†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis A, acute, Cum 2019†","Hepatitis A, acute, Cum 2019†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag","Hepatitis B, acute, Cum 2019†","Hepatitis B, acute, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WISCONSIN,2020,14,,-,2,,,-,,-,,-,6,,,-,4,,,-,2,,1,,4,,WISCONSIN,,20201419,POINT (-89.732969 44.639954)
IDAHO,2020,14,,-,1,,,-,,-,,-,8,,3,,13,,,-,1,,,-,2,,IDAHO,,20201451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201468,POINT (-64.840836 18.060868)
MICHIGAN,2020,14,,-,2,,,-,1,,,-,4,,7,,23,,,-,4,,8,,15,,MICHIGAN,,20201417,POINT (-85.730977 44.874798)
GEORGIA,2020,14,,-,2,,1,,,-,5,,30,,146,,165,,,-,5,,9,,36,,GEORGIA,,20201432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,14,,-,1,,,-,,-,,-,5,,16,,27,,,-,4,,13,,9,,,NEW YORK CITY,20201412,
ARKANSAS,2020,14,,-,2,,,-,1,,2,,9,,43,,68,,,-,5,,14,,10,,ARKANSAS,,20201444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,14,,-,0,,,-,,-,,-,9,,70,,6,,,-,4,,13,,10,,MISSISSIPPI,,20201441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,14,,-,2,,,-,,-,,-,1,,1,,2,,,-,1,,,-,1,,SOUTH DAKOTA,,20201427,POINT (-100.230491 44.43614)
WYOMING,2020,14,,-,0,,,-,,-,,-,3,,1,,2,,,-,0,,,-,3,,WYOMING,,20201456,POINT (-107.55145 42.999627)
MISSOURI,2020,14,,-,2,,,-,,-,,-,16,,75,,41,,,-,4,,2,,12,,MISSOURI,,20201424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,14,,-,4,,1,,,-,3,,76,,176,,249,,2,,10,,31,,61,,,MIDDLE ATLANTIC,20201409,
CALIFORNIA,2020,14,,-,3,,,-,3,,,-,15,,70,,63,,,-,4,,7,,31,,CALIFORNIA,,20201459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,14,,-,1,,,-,,-,,-,13,,29,,251,,,-,3,,8,,19,,WEST VIRGINIA,,20201437,POINT (-80.613729 38.642579)
FLORIDA,2020,14,,-,1,,2,,1,,,-,99,,247,,754,,,-,23,,48,,161,,FLORIDA,,20201431,POINT (-82.420978 28.260731)
MONTANA,2020,14,,-,0,,,-,,-,,-,4,,3,,1,,,-,1,,,-,,-,MONTANA,,20201452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,14,,-,4,,1,,6,,,-,21,,113,,60,,,-,5,,7,,27,,,WEST NORTH CENTRAL,20201420,
MASSACHUSETTS,2020,14,,-,1,,,-,,-,,-,9,,13,,105,,,-,2,,7,,10,,MASSACHUSETTS,,20201405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,14,,-,3,,1,,2,,1,,46,,84,,317,,,-,6,,8,,33,,,MOUNTAIN,20201448,
INDIANA,2020,14,,-,0,,,-,,-,,-,71,,39,,483,,,-,10,,1,,40,,INDIANA,,20201416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,14,,-,0,,,-,,-,,-,3,,1,,16,,,-,1,,1,,,-,,NON-US RESIDENTS,20201469,
US TERRITORIES,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201463,
TOTAL,2020,18,,-,19,,35,,45,,13,,470,,2560,,6959,,6,,99,,479,,1095,,,TOTAL,20201870,
US RESIDENTS,2020,18,,-,19,,35,,45,,13,,470,,2558,,6942,,6,,99,,478,,1095,,,US RESIDENTS,20201801,
NEW HAMPSHIRE,2020,18,,-,1,,,-,,-,,-,14,,21,,107,,,-,1,,,-,1,,NEW HAMPSHIRE,,20201806,POINT (-71.57139 43.680429)
NEW YORK,2020,18,,-,2,,1,,,-,1,,14,,74,,43,,2,,4,,9,,20,,NEW YORK,,20201811,POINT (-75.59655 42.921241)
PACIFIC,2020,18,,-,10,,15,,10,,,-,33,,250,,118,,,-,7,,30,,57,,,PACIFIC,20201857,
WEST SOUTH CENTRAL,2020,18,,-,7,,2,,5,,2,,44,,184,,245,,,-,10,,43,,55,,,WEST SOUTH CENTRAL,20201843,
NEBRASKA,2020,18,,-,1,,1,,,-,,-,3,,3,,1,,,-,1,,,-,,-,NEBRASKA,,20201825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,18,,-,3,,7,,8,,2,,113,,510,,1729,,1,,17,,130,,183,,,EAST SOUTH CENTRAL,20201838,
NORTH DAKOTA,2020,18,,-,1,,,-,3,,,-,1,,,-,1,,,-,1,,1,,1,,NORTH DAKOTA,,20201826,POINT (-100.46931 47.446305)
NEVADA,2020,18,,-,0,,,-,,-,,-,7,,7,,29,,,-,2,,,-,9,,NEVADA,,20201853,POINT (-114.916992 39.283294)
ILLINOIS,2020,18,,-,1,,,-,2,,,-,8,,23,,82,,,-,3,,7,,6,,ILLINOIS,,20201815,POINT (-89.148632 40.124144)
IOWA,2020,18,,-,2,,,-,2,,,-,2,,4,,4,,,-,3,,4,,7,,IOWA,,20201821,POINT (-93.500061 42.074659)
TEXAS,2020,18,,-,4,,1,,3,,,-,13,,35,,37,,,-,6,,9,,18,,TEXAS,,20201847,POINT (-99.317341 31.447238)
ALASKA,2020,18,,-,1,,,-,,-,,-,1,,,-,1,,,-,1,,2,,5,,ALASKA,,20201858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,18,,-,0,,,-,,-,,-,2,,,-,6,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20201830,POINT (-77.016275 38.904785)
WASHINGTON,2020,18,,N,,NC,,N,,N,,-,18,,146,,19,,,-,3,,5,,11,,WASHINGTON,,20201862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,18,,-,1,,,-,,-,1,,19,,67,,243,,,-,5,,25,,38,,,NEW ENGLAND,20201802,
RHODE ISLAND,2020,18,,-,0,,,-,,-,,-,2,,2,,4,,,U,,NC,,U,,U,RHODE ISLAND,,20201807,POINT (-71.534637 41.572574)
OREGON,2020,18,,-,2,,,-,1,,,-,2,,8,,11,,,-,2,,7,,5,,OREGON,,20201861,POINT (-120.605279 43.940449)
DELAWARE,2020,18,,-,0,,,-,,-,,-,4,,12,,6,,,-,1,,1,,10,,DELAWARE,,20201829,POINT (-75.452394 38.994926)
ALABAMA,2020,18,,-,2,,,-,1,,2,,21,,227,,45,,,-,4,,15,,31,,ALABAMA,,20201839,POINT (-86.844516 32.756889)
KANSAS,2020,18,,-,1,,1,,2,,,-,1,,,-,5,,,-,1,,,-,5,,KANSAS,,20201822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,18,,-,1,,,-,1,,,-,10,,54,,31,,,-,7,,21,,73,,NORTH CAROLINA,,20201834,POINT (-79.130883 35.52603)
GUAM,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201866,POINT (144.653198 13.3532)
NEW JERSEY,2020,18,,-,0,,,-,,-,,-,23,,36,,184,,,-,5,,,-,23,,NEW JERSEY,,20201810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,18,,-,1,,,-,,-,,-,4,,4,,74,,,-,1,,,-,2,,NEW MEXICO,,20201854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,18,,-,4,,,-,4,,2,,115,,174,,1917,,2,,41,,58,,194,,,EAST NORTH CENTRAL,20201814,
TENNESSEE,2020,18,,-,2,,6,,2,,,-,83,,168,,720,,1,,9,,51,,73,,TENNESSEE,,20201842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,18,,-,1,,,-,,-,,-,3,,11,,6,,,-,0,,,-,3,,CONNECTICUT,,20201803,POINT (-72.738288 41.575155)
MARYLAND,2020,18,,-,1,,2,,,-,,-,7,,66,,30,,,-,4,,14,,4,,MARYLAND,,20201833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,18,,-,0,,,-,,-,,-,32,,191,,77,,,-,4,,17,,12,,SOUTH CAROLINA,,20201835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,18,,-,3,,,-,,-,,-,3,,2,,5,,,-,5,,2,,,-,OKLAHOMA,,20201846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201865,POINT (145.725693 15.1834)
OHIO,2020,18,,-,1,,,-,1,,2,,60,,103,,1120,,2,,29,,38,,102,,OHIO,,20201818,POINT (-82.70936 40.415534)
MINNESOTA,2020,18,,-,2,,,-,2,,,-,7,,48,,11,,,-,2,,,-,4,,MINNESOTA,,20201823,POINT (-94.198308 46.349153)
LOUISIANA,2020,18,,-,1,,,-,1,,,-,39,,89,,114,,,-,4,,13,,24,,LOUISIANA,,20201845,POINT (-91.840238 30.921314)
HAWAII,2020,18,,-,0,,,-,,-,,-,1,,4,,1,,,-,1,,3,,,-,HAWAII,,20201860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,18,,-,4,,5,,3,,5,,154,,949,,1817,,1,,35,,137,,419,,,SOUTH ATLANTIC,20201828,
PENNSYLVANIA,2020,18,,-,4,,1,,1,,,-,43,,73,,73,,,-,5,,17,,21,,PENNSYLVANIA,,20201813,POINT (-77.838886 40.896694)
UTAH,2020,18,,-,2,,,-,1,,,-,2,,5,,8,,,-,3,,1,,10,,UTAH,,20201855,POINT (-111.678222 39.323779)
COLORADO,2020,18,,-,3,,,-,,-,,-,18,,40,,64,,,-,1,,2,,7,,COLORADO,,20201850,POINT (-105.547832 38.998552)
VERMONT,2020,18,,-,0,,,-,,-,,-,1,,2,,4,,,-,1,,,-,2,,VERMONT,,20201808,POINT (-72.662695 44.075252)
KENTUCKY,2020,18,,-,2,,1,,5,,,-,32,,18,,954,,,-,7,,48,,68,,KENTUCKY,,20201840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,18,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201867,POINT (-66.414655 18.215692)
MAINE,2020,18,,-,1,,,-,,-,1,,6,,15,,7,,,-,4,,14,,21,,MAINE,,20201804,POINT (-69.06137 45.117911)
VIRGINIA,2020,18,,-,2,,,-,,-,1,,17,,88,,61,,1,,6,,10,,15,,VIRGINIA,,20201836,POINT (-78.666382 37.510861)
ARIZONA,2020,18,,-,2,,2,,1,,,-,30,,28,,262,,,-,2,,6,,10,,ARIZONA,,20201849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,18,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201864,
WISCONSIN,2020,18,,-,2,,,-,,-,,-,6,,2,,5,,,-,2,,2,,4,,WISCONSIN,,20201819,POINT (-89.732969 44.639954)
IDAHO,2020,18,,-,1,,,-,,-,,-,8,,3,,15,,,-,1,,,-,3,,IDAHO,,20201851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201868,POINT (-64.840836 18.060868)
MICHIGAN,2020,18,,-,2,,,-,1,,,-,4,,7,,32,,,-,4,,10,,20,,MICHIGAN,,20201817,POINT (-85.730977 44.874798)
GEORGIA,2020,18,,-,2,,1,,,-,4,,29,,184,,281,,,-,7,,14,,41,,GEORGIA,,20201832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,18,,-,1,,,-,1,,,-,5,,17,,34,,,-,4,,13,,9,,,NEW YORK CITY,20201812,
ARKANSAS,2020,18,,-,2,,1,,1,,2,,9,,58,,89,,,-,5,,19,,13,,ARKANSAS,,20201844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,18,,-,0,,,-,,-,,-,9,,97,,10,,,-,4,,16,,11,,MISSISSIPPI,,20201841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,18,,-,2,,,-,,-,,-,1,,1,,4,,,-,1,,,-,1,,SOUTH DAKOTA,,20201827,POINT (-100.230491 44.43614)
WYOMING,2020,18,,-,0,,,-,,-,,-,3,,1,,3,,,-,0,,,-,3,,WYOMING,,20201856,POINT (-107.55145 42.999627)
MISSOURI,2020,18,,-,2,,,-,2,,,-,16,,75,,56,,,-,2,,2,,14,,MISSOURI,,20201824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,18,,-,4,,2,,2,,1,,75,,200,,334,,2,,10,,39,,73,,,MIDDLE ATLANTIC,20201809,
CALIFORNIA,2020,18,,-,9,,15,,9,,,-,14,,92,,86,,,-,5,,13,,36,,CALIFORNIA,,20201859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,18,,-,1,,,-,,-,,-,13,,45,,282,,,-,3,,9,,24,,WEST VIRGINIA,,20201837,POINT (-80.613729 38.642579)
FLORIDA,2020,18,,-,1,,2,,2,,,-,99,,309,,1043,,,-,23,,51,,240,,FLORIDA,,20201831,POINT (-82.420978 28.260731)
MONTANA,2020,18,,-,0,,,-,,-,,-,4,,5,,2,,,-,1,,,-,,-,MONTANA,,20201852,POINT (-109.645127 47.033521)
TOTAL,2020,15,3,,13,,20,,30,,28,,469,,2208,,5697,,8,,101,,415,,895,,,TOTAL,20201570,
US RESIDENTS,2020,15,3,,13,,20,,30,,28,,469,,2206,,5681,,8,,101,,414,,895,,,US RESIDENTS,20201501,
NEW HAMPSHIRE,2020,15,,-,1,,,-,,-,,-,14,,17,,83,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201506,POINT (-71.57139 43.680429)
NEW YORK,2020,15,,-,2,,,-,,-,4,,14,,61,,35,,1,,4,,5,,19,,NEW YORK,,20201511,POINT (-75.59655 42.921241)
PACIFIC,2020,15,,-,3,,1,,4,,1,,33,,201,,89,,,-,6,,20,,50,,,PACIFIC,20201557,
WEST SOUTH CENTRAL,2020,15,,-,7,,2,,4,,2,,44,,173,,193,,2,,10,,37,,42,,,WEST SOUTH CENTRAL,20201543,
NEBRASKA,2020,15,1,,1,,1,,,-,,-,3,,3,,1,,,-,1,,,-,,-,NEBRASKA,,20201525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,15,1,,3,,7,,4,,5,,113,,438,,1487,,1,,17,,116,,159,,,EAST SOUTH CENTRAL,20201538,
NORTH DAKOTA,2020,15,,-,1,,,-,3,,,-,1,,,-,1,,,-,1,,1,,1,,NORTH DAKOTA,,20201526,POINT (-100.46931 47.446305)
NEVADA,2020,15,,-,0,,,-,,-,,-,7,,5,,25,,,-,2,,,-,7,,NEVADA,,20201553,POINT (-114.916992 39.283294)
ILLINOIS,2020,15,,-,1,,,-,2,,,-,8,,21,,62,,,-,3,,7,,4,,ILLINOIS,,20201515,POINT (-89.148632 40.124144)
IOWA,2020,15,,-,2,,,-,2,,,-,2,,4,,2,,,-,3,,4,,5,,IOWA,,20201521,POINT (-93.500061 42.074659)
TEXAS,2020,15,,-,4,,1,,2,,1,,13,,36,,33,,2,,6,,9,,12,,TEXAS,,20201547,POINT (-99.317341 31.447238)
ALASKA,2020,15,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,1,,5,,ALASKA,,20201558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,15,,-,0,,,-,,-,,-,2,,,-,5,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20201530,POINT (-77.016275 38.904785)
WASHINGTON,2020,15,,N,,NC,,N,,N,,-,18,,121,,15,,,-,3,,3,,8,,WASHINGTON,,20201562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,15,,-,1,,,-,,-,,-,19,,52,,213,,,-,5,,22,,35,,,NEW ENGLAND,20201502,
RHODE ISLAND,2020,15,,-,0,,,-,,-,,-,2,,2,,4,,,U,,NC,,U,,U,RHODE ISLAND,,20201507,POINT (-71.534637 41.572574)
OREGON,2020,15,,-,2,,,-,1,,,-,2,,4,,8,,,-,2,,4,,5,,OREGON,,20201561,POINT (-120.605279 43.940449)
DELAWARE,2020,15,,-,0,,,-,,-,,-,4,,12,,6,,,-,1,,1,,10,,DELAWARE,,20201529,POINT (-75.452394 38.994926)
ALABAMA,2020,15,,-,2,,,-,1,,4,,21,,183,,40,,,-,4,,13,,26,,ALABAMA,,20201539,POINT (-86.844516 32.756889)
KANSAS,2020,15,,-,1,,1,,2,,,-,1,,,-,5,,,-,1,,,-,5,,KANSAS,,20201522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,15,,-,1,,,-,1,,,-,10,,46,,29,,,-,7,,17,,64,,NORTH CAROLINA,,20201534,POINT (-79.130883 35.52603)
GUAM,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
NEW JERSEY,2020,15,,-,0,,,-,,-,,-,23,,36,,152,,,-,5,,,-,20,,NEW JERSEY,,20201510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,15,,-,1,,,-,,-,,-,8,,4,,62,,,-,1,,,-,2,,NEW MEXICO,,20201554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,15,,-,4,,,-,4,,4,,145,,160,,1582,,2,,41,,50,,138,,,EAST NORTH CENTRAL,20201514,
TENNESSEE,2020,15,1,,2,,6,,1,,1,,83,,156,,555,,,-,9,,47,,63,,TENNESSEE,,20201542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,15,,-,1,,,-,,-,,-,3,,10,,6,,,-,0,,,-,3,,CONNECTICUT,,20201503,POINT (-72.738288 41.575155)
MARYLAND,2020,15,,-,1,,2,,,-,3,,7,,59,,28,,1,,3,,12,,4,,MARYLAND,,20201533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,15,,-,0,,,-,,-,4,,32,,174,,46,,,-,4,,16,,11,,SOUTH CAROLINA,,20201535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,15,,-,3,,,-,,-,,-,5,,2,,,-,,-,5,,2,,,-,OKLAHOMA,,20201546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201565,POINT (145.725693 15.1834)
OHIO,2020,15,,-,1,,,-,1,,4,,68,,92,,969,,2,,29,,32,,70,,OHIO,,20201518,POINT (-82.70936 40.415534)
MINNESOTA,2020,15,,-,2,,,-,1,,,-,6,,38,,8,,,-,2,,,-,3,,MINNESOTA,,20201523,POINT (-94.198308 46.349153)
LOUISIANA,2020,15,,-,1,,,-,1,,,-,39,,88,,83,,,-,4,,11,,19,,LOUISIANA,,20201545,POINT (-91.840238 30.921314)
AMERICAN SAMOA,2020,15,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201564,
HAWAII,2020,15,,-,0,,,-,,-,,-,1,,2,,1,,,-,1,,3,,,-,HAWAII,,20201560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,15,,-,4,,5,,3,,10,,151,,792,,1425,,1,,37,,120,,341,,,SOUTH ATLANTIC,20201528,
PENNSYLVANIA,2020,15,,-,4,,1,,1,,,-,43,,69,,60,,1,,5,,15,,20,,PENNSYLVANIA,,20201513,POINT (-77.838886 40.896694)
UTAH,2020,15,,-,2,,,-,1,,,-,2,,4,,7,,,-,3,,1,,7,,UTAH,,20201555,POINT (-111.678222 39.323779)
COLORADO,2020,15,,-,3,,,-,,-,2,,18,,40,,46,,,-,1,,2,,6,,COLORADO,,20201550,POINT (-105.547832 38.998552)
VERMONT,2020,15,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,2,,VERMONT,,20201508,POINT (-72.662695 44.075252)
KENTUCKY,2020,15,,-,2,,1,,2,,,-,34,,16,,886,,1,,7,,42,,60,,KENTUCKY,,20201540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,15,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201567,POINT (-66.414655 18.215692)
MAINE,2020,15,,-,1,,,-,,-,,-,6,,10,,6,,,-,4,,12,,20,,MAINE,,20201504,POINT (-69.06137 45.117911)
VIRGINIA,2020,15,,-,2,,,-,,-,2,,17,,74,,50,,,-,6,,7,,10,,VIRGINIA,,20201536,POINT (-78.666382 37.510861)
ARIZONA,2020,15,1,,2,,2,,1,,,-,30,,27,,196,,,-,2,,6,,7,,ARIZONA,,20201549,POINT (-111.664616 34.293239)
WISCONSIN,2020,15,,-,2,,,-,,-,,-,6,,1,,4,,,-,2,,1,,4,,WISCONSIN,,20201519,POINT (-89.732969 44.639954)
IDAHO,2020,15,,-,1,,,-,,-,,-,8,,3,,14,,,-,1,,,-,3,,IDAHO,,20201551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201568,POINT (-64.840836 18.060868)
MICHIGAN,2020,15,,-,2,,,-,1,,,-,4,,7,,24,,,-,4,,9,,15,,MICHIGAN,,20201517,POINT (-85.730977 44.874798)
GEORGIA,2020,15,,-,2,,1,,,-,1,,30,,151,,186,,,-,5,,11,,39,,GEORGIA,,20201532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,15,,-,1,,,-,,-,,-,5,,16,,29,,,-,4,,13,,9,,,NEW YORK CITY,20201512,
ARKANSAS,2020,15,,-,2,,1,,1,,1,,9,,47,,77,,,-,5,,15,,11,,ARKANSAS,,20201544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,15,,-,0,,,-,,-,,-,9,,83,,6,,,-,4,,14,,10,,MISSISSIPPI,,20201541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,15,,-,2,,,-,,-,,-,1,,1,,2,,,-,1,,,-,1,,SOUTH DAKOTA,,20201527,POINT (-100.230491 44.43614)
WYOMING,2020,15,,-,0,,,-,,-,,-,3,,1,,2,,,-,0,,,-,3,,WYOMING,,20201556,POINT (-107.55145 42.999627)
MISSOURI,2020,15,,-,2,,,-,,-,,-,16,,75,,43,,,-,2,,2,,12,,MISSOURI,,20201524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,15,,-,4,,1,,1,,4,,75,,182,,276,,2,,10,,33,,68,,,MIDDLE ATLANTIC,20201509,
CALIFORNIA,2020,15,,-,3,,1,,3,,1,,15,,74,,65,,,-,4,,9,,32,,CALIFORNIA,,20201559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,15,,-,1,,,-,,-,,-,13,,29,,260,,,-,3,,8,,22,,WEST VIRGINIA,,20201537,POINT (-80.613729 38.642579)
FLORIDA,2020,15,,-,1,,2,,2,,,-,99,,247,,815,,,-,23,,48,,181,,FLORIDA,,20201531,POINT (-82.420978 28.260731)
MONTANA,2020,15,,-,0,,,-,,-,,-,4,,3,,2,,,-,1,,,-,,-,MONTANA,,20201552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,15,1,,4,,2,,8,,,-,21,,121,,62,,,-,5,,7,,27,,,WEST NORTH CENTRAL,20201520,
MASSACHUSETTS,2020,15,,-,1,,,-,,-,,-,9,,13,,111,,,-,2,,10,,10,,MASSACHUSETTS,,20201505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,15,1,,3,,2,,2,,2,,46,,87,,354,,,-,6,,9,,35,,,MOUNTAIN,20201548,
INDIANA,2020,15,,-,0,,,-,,-,,-,71,,39,,523,,,-,10,,1,,45,,INDIANA,,20201516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,15,,-,0,,,-,,-,,-,3,,2,,16,,,-,1,,1,,,-,,NON-US RESIDENTS,20201569,
US TERRITORIES,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201563,
MASSACHUSETTS,2020,16,,-,1,,,-,,-,,-,9,,15,,112,,,-,2,,10,,10,,MASSACHUSETTS,,20201605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,16,,-,3,,2,,2,,,-,46,,87,,383,,,-,6,,9,,38,,,MOUNTAIN,20201648,
INDIANA,2020,16,,-,0,,,-,,-,,-,71,,39,,588,,,-,10,,1,,46,,INDIANA,,20201616,POINT (-86.2818 39.919991)
US TERRITORIES,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201663,
TOTAL,2020,17,1,,19,,35,,38,,38,,469,,2447,,6523,,8,,100,,463,,1001,,,TOTAL,20201770,
US RESIDENTS,2020,17,1,,19,,35,,38,,38,,469,,2445,,6506,,8,,100,,462,,1001,,,US RESIDENTS,20201701,
NEW HAMPSHIRE,2020,17,,-,1,,,-,,-,,-,14,,21,,93,,,-,1,,,-,1,,NEW HAMPSHIRE,,20201706,POINT (-71.57139 43.680429)
NEW YORK,2020,17,1,,2,,1,,,-,8,,14,,73,,42,,1,,4,,7,,20,,NEW YORK,,20201711,POINT (-75.59655 42.921241)
PACIFIC,2020,17,,-,10,,15,,8,,,-,34,,241,,110,,1,,7,,30,,53,,,PACIFIC,20201757,
WEST SOUTH CENTRAL,2020,17,,-,7,,2,,4,,2,,44,,182,,226,,2,,10,,43,,52,,,WEST SOUTH CENTRAL,20201743,
NEBRASKA,2020,17,,-,1,,1,,,-,,-,3,,3,,1,,,-,1,,,-,,-,NEBRASKA,,20201725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,17,,-,3,,7,,5,,7,,113,,493,,1649,,1,,17,,127,,171,,,EAST SOUTH CENTRAL,20201738,
NORTH DAKOTA,2020,17,,-,1,,,-,3,,,-,1,,,-,1,,,-,1,,1,,1,,NORTH DAKOTA,,20201726,POINT (-100.46931 47.446305)
NEVADA,2020,17,,-,0,,,-,,-,,-,7,,7,,28,,,-,2,,,-,8,,NEVADA,,20201753,POINT (-114.916992 39.283294)
ILLINOIS,2020,17,,-,1,,,-,2,,,-,8,,21,,76,,,-,3,,7,,4,,ILLINOIS,,20201715,POINT (-89.148632 40.124144)
IOWA,2020,17,,-,2,,,-,2,,,-,2,,4,,4,,,-,3,,4,,7,,IOWA,,20201721,POINT (-93.500061 42.074659)
TEXAS,2020,17,,-,4,,1,,2,,,-,13,,35,,37,,,-,6,,9,,16,,TEXAS,,20201747,POINT (-99.317341 31.447238)
ALASKA,2020,17,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,2,,5,,ALASKA,,20201758,POINT (-151.631889 63.631126)
